Zip,NumTotal,NumRetired,NumDisabled,NumWidowerorParent,NumSpouses,NumChildren,BenTotal,BenRetired,BenWidowerorParent,NumSeniors
"76388",70,50,5,10,5,0,78,59,9,60
"76424",1955,1230,280,200,115,130,2115,1459,219,1415
"76429",45,30,5,5,5,0,50,40,3,30
"76430",530,350,50,70,35,25,585,413,79,415
"76435",190,140,20,20,10,0,204,154,23,155
"76437",1355,880,180,155,65,75,1370,935,164,1020
"76443",565,395,50,50,45,25,585,430,58,450
"76445",100,75,10,5,5,5,105,86,6,80
"76448",1335,865,165,125,75,105,1443,1009,146,980
"76454",440,305,45,45,20,25,462,331,46,345
"76464",145,100,10,15,10,10,154,112,18,110
"76466",90,55,15,10,5,5,89,57,15,60
"76469",25,20,5,0,0,0,27,22,0,15
"76470",770,445,135,100,25,65,751,475,97,510
"76471",520,335,65,55,30,35,531,363,62,380
"79501",760,485,115,90,35,35,775,519,94,540
"79502",355,230,25,60,20,20,355,245,62,285
"79503",50,30,5,5,5,5,51,35,6,35
"79504",680,465,80,75,35,25,723,510,83,530
"79506",210,145,20,20,15,10,243,177,24,165
"79508",270,195,25,20,15,15,294,224,21,205
"79510",1770,1160,255,145,80,130,1858,1314,153,1255
"79518",45,25,5,5,5,5,41,27,3,30
"79520",585,365,75,75,40,30,620,429,79,440
"79521",960,625,105,115,60,55,982,683,121,740
"79525",620,395,100,50,30,45,650,433,58,425
"79528",165,100,10,35,10,10,177,116,39,135
"79530",110,80,15,10,0,5,120,84,9,85
"79533",105,60,15,10,5,15,101,63,10,65
"79534",50,40,5,5,0,0,47,39,4,40
"79535",60,35,5,5,10,5,64,42,6,45
"79536",1010,635,135,95,55,90,1046,708,101,710
"79537",30,20,5,0,0,5,32,25,0,20
"79539",40,30,5,5,0,0,35,26,6,35
"79540",40,30,0,5,5,0,45,36,4,40
"79541",145,105,15,10,5,10,164,120,12,105
"79543",280,175,30,35,15,25,293,199,38,215
"79544",140,95,15,20,5,5,127,91,18,115
"79545",370,200,50,55,30,35,371,228,56,265
"79546",540,330,60,75,40,35,572,381,84,425
"79547",245,140,35,40,20,10,248,154,39,185
"79548",45,30,5,5,5,0,48,37,4,35
"79553",910,520,145,105,45,95,875,557,106,630
"79556",2695,1660,390,310,155,180,2777,1860,327,1925
"79560",55,35,5,5,10,0,59,39,8,45
"79561",135,90,20,15,5,5,145,99,14,100
"79562",595,420,60,45,35,35,666,499,53,450
"79563",285,180,45,25,10,25,280,197,24,195
"79601",3455,2165,490,345,165,290,3584,2449,393,2480
"79602",3275,2070,485,270,165,285,3508,2422,323,2275
"79603",4575,2645,850,460,180,440,4424,2820,475,2980
"79604",760,250,105,25,25,355,712,303,29,330
"79605",5335,3340,740,580,270,405,5741,3904,675,3880
"79606",3575,2480,350,340,210,195,4186,3107,423,2795
"79607",20,5,5,0,0,10,17,9,0,5
"79608",340,220,60,20,15,25,388,276,28,235
"78007",60,45,5,5,5,0,65,49,8,50
"78022",970,595,115,125,85,50,994,661,130,740
"78060",15,10,0,5,0,0,14,9,2,15
"78071",670,405,80,70,60,55,683,442,84,490
